Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,PAtt,PYds,PTD,Int,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,Solo,Int,Sk,College/Univ
1,1,CLE,Baker Mayfield,QB,23,2019,0,0,2,21,21,30,627,1020,7552,49,35,67,272,3,0,0,0,,,,Oklahoma
1,2,NYG,Saquon Barkley,RB,21,2019,0,1,2,23,23,29,0,0,0,0,0,478,2310,17,143,1159,6,,,,Penn St.
1,3,NYJ,Sam Darnold,QB,21,2019,0,0,2,13,13,26,512,855,5889,36,28,77,200,3,0,0,0,,,,USC
1,4,CLE,Denzel Ward,CB,21,2019,0,1,2,13,13,25,0,0,0,0,0,0,0,0,0,0,0,79,5,,Ohio St.
1,5,DEN,Bradley Chubb,DE,22,2019,0,0,1,10,10,20,0,0,0,0,0,0,0,0,0,0,0,57,,13,North Carolina St.
1,6,IND,Quenton Nelson,G,22,2019,2,2,2,27,27,32,0,0,0,0,0,1,0,0,0,0,0,,,,Notre Dame
1,7,BUF,Josh Allen,QB,22,2019,0,0,2,17,17,28,440,781,5163,30,21,198,1141,17,0,0,0,,,,Wyoming
1,8,CHI,Roquan Smith,ILB,21,2019,0,0,2,16,16,28,0,0,0,0,0,0,0,0,0,0,0,154,2,7,Georgia
1,9,SFO,Mike McGlinchey,T,24,2019,0,0,2,16,16,28,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame
1,10,ARI,Josh Rosen,QB,21,2019,0,0,1,3,2,20,275,502,2845,12,19,26,151,0,0,0,0,,,,UCLA
1,11,MIA,Minkah Fitzpatrick,S,21,2019,1,1,2,23,9,32,0,0,0,0,0,0,0,0,0,0,0,94,7,,Alabama
1,12,TAM,Vita Vea,DT,23,2019,0,0,2,11,11,29,0,0,0,0,0,0,0,0,1,1,1,40,,5.5,Washington
1,13,WAS,Da'Ron Payne,DT,21,2019,0,0,2,12,12,31,0,0,0,0,0,0,0,0,0,0,0,67,,7,Alabama
1,14,NOR,Marcus Davenport,DE,22,2019,0,0,1,7,7,26,0,0,0,0,0,0,0,0,0,0,0,27,,10.5,Texas-San Antonio
1,15,OAK,Kolton Miller,T,22,2019,0,0,2,15,15,32,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA
1,16,BUF,Tremaine Edmunds,ILB,20,2019,0,1,2,24,24,31,0,0,0,0,0,0,0,0,0,0,0,146,3,3.5,Virginia Tech
1,17,LAC,Derwin James,S,22,2019,1,1,1,13,13,21,0,0,0,0,0,0,0,0,0,0,0,98,3,3.5,Florida St.
1,18,GNB,Jaire Alexander,CB,21,2019,0,0,2,11,11,29,0,0,0,0,0,0,0,0,0,0,0,111,3,0.5,Louisville
1,19,DAL,Leighton Vander Esch,OLB,22,2019,0,1,2,16,16,25,0,0,0,0,0,0,0,0,0,0,0,145,2,0.5,Boise St.
1,20,DET,Frank Ragnow,C,22,2019,0,0,2,13,13,31,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas
1,21,CIN,Billy Price,C,23,2019,0,0,1,9,9,26,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.
1,22,TEN,Rashaan Evans,ILB,22,2019,0,0,1,14,14,31,0,0,0,0,0,0,0,0,0,0,0,102,,2.5,Alabama
1,23,NWE,Isaiah Wynn,T,21,2019,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia
1,24,CAR,D.J. Moore,WR,21,2019,0,0,2,16,16,31,0,0,0,0,0,19,212,0,142,1963,6,1,,,Maryland
1,25,BAL,Hayden Hurst,TE,25,2019,0,0,0,6,6,28,0,0,0,0,0,1,0,0,43,512,3,,,,South Carolina
1,26,ATL,Calvin Ridley,WR,23,2019,0,0,1,14,14,29,0,0,0,0,0,8,61,0,127,1687,17,,,,Alabama
1,27,SEA,Rashaad Penny,RB,22,2019,0,0,0,7,7,24,0,0,0,0,0,150,789,5,17,158,1,,,,San Diego St.
1,28,PIT,Terrell Edmunds,S,21,2019,0,0,2,12,12,32,0,0,0,0,0,0,0,0,0,0,0,126,1,1,Virginia Tech
1,29,JAX,Taven Bryan,DT,22,2019,0,0,1,6,6,32,0,0,0,0,0,0,0,0,0,0,0,31,,3,Florida
1,30,MIN,Mike Hughes,CB,21,2019,0,0,0,4,4,20,0,0,0,0,0,0,0,0,0,0,0,56,2,,Central Florida
1,31,NWE,Sony Michel,RB,23,2019,0,0,2,12,12,29,0,0,0,0,0,456,1843,13,19,144,0,,,,Georgia
1,32,BAL,Lamar Jackson,QB,21,2019,1,1,1,33,33,31,364,571,4328,42,9,323,1901,12,0,0,0,,,,Louisville
2,33,CLE,Austin Corbett,C,23,2019,0,0,0,4,1,22,0,0,0,0,0,0,0,0,0,0,0,,,,Nevada
2,34,NYG,Will Hernandez,G,23,2019,0,0,2,14,14,32,0,0,0,0,0,0,0,0,0,0,0,,,,Texas-El Paso
2,35,CLE,Nick Chubb,RB,22,2019,0,1,2,18,18,32,0,0,0,0,0,490,2490,16,56,427,2,2,,,Georgia
2,36,IND,Darius Leonard,LB,23,2019,1,1,2,29,29,28,0,0,0,0,0,0,0,0,0,0,0,182,7,12,South Carolina St.
2,37,IND,Braden Smith,G,22,2019,0,0,2,13,13,31,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn
2,38,TAM,Ronald Jones,RB,21,2019,0,0,1,7,7,25,0,0,0,0,0,195,768,7,38,342,0,1,,,USC
2,39,CHI,James Daniels,C,20,2019,0,0,2,11,11,32,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa
2,40,DEN,Courtland Sutton,WR,22,2019,0,1,2,14,14,32,1,1,38,0,0,4,16,0,114,1816,10,1,,,SMU
