Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,PAtt,PYds,PTD,Int,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,Solo,Int,Sk,College/Univ
1,1,ARI,Kyler Murray,QB,22,2019,0,0,1,14,14,16,349,542,3722,20,12,93,544,4,0,0,0,,,,Oklahoma
1,2,SFO,Nick Bosa,DE,21,2019,0,0,1,9,9,16,0,0,0,0,0,0,0,0,0,0,0,32,1,9,Ohio St.
1,3,NYJ,Quinnen Williams,DT,21,2019,0,0,1,6,6,13,0,0,0,0,0,0,0,0,0,0,0,15,,2.5,Alabama
1,4,OAK,Clelin Ferrell,DE,22,2019,0,0,1,7,7,15,0,0,0,0,0,0,0,0,0,0,0,24,,4.5,Clemson
1,5,TAM,Devin White,LB,21,2019,0,0,1,8,8,13,0,0,0,0,0,0,0,0,0,0,0,58,1,2.5,LSU
1,6,NYG,Daniel Jones,QB,22,2019,0,0,1,9,9,13,284,459,3027,24,12,45,279,2,0,0,0,,,,Duke
1,7,JAX,Josh Allen,LB,22,2019,0,1,0,6,6,16,0,0,0,0,0,0,0,0,0,0,0,31,,10.5,Kentucky
1,8,DET,T.J. Hockenson,TE,22,2019,0,0,0,3,3,12,0,0,0,0,0,0,0,0,32,367,2,,,,Iowa
1,9,BUF,Ed Oliver,DT,21,2019,0,0,0,7,7,16,0,0,0,0,0,0,0,0,0,0,0,24,,5,Houston
1,10,PIT,Devin Bush,LB,21,2019,0,0,1,10,10,16,0,0,0,0,0,0,0,0,0,0,0,72,2,1,Michigan
1,11,CIN,Jonah Williams,G,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama
1,12,GNB,Rashan Gary,LB,21,2019,0,0,0,2,2,16,0,0,0,0,0,0,0,0,0,0,0,13,,2,Michigan
1,13,MIA,Christian Wilkins,DT,23,2019,0,0,1,5,5,16,0,0,0,0,0,0,0,0,1,1,1,30,,2,Clemson
1,14,ATL,Chris Lindstrom,G,22,2019,0,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.
1,15,WAS,Dwayne Haskins,QB,22,2019,0,0,0,3,3,9,119,203,1365,7,7,20,101,0,0,0,0,,,,Ohio St.
1,16,CAR,Brian Burns,DE,21,2019,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,17,,7.5,Florida St.
1,17,NYG,Dexter Lawrence,DT,21,2019,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,24,,2.5,Clemson
1,18,MIN,Garrett Bradbury,C,24,2019,0,0,1,8,8,16,0,0,0,0,0,0,0,0,1,-4,0,,,,North Carolina St.
1,19,TEN,Jeffery Simmons,DT,22,2019,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,0,0,18,,2,Mississippi St.
1,20,DEN,Noah Fant,TE,21,2019,0,0,1,4,4,16,0,0,0,0,0,3,-12,0,40,562,3,,,,Iowa
1,21,GNB,Darnell Savage,S,22,2019,0,0,1,5,5,14,0,0,0,0,0,0,0,0,0,0,0,42,2,,Maryland
1,22,PHI,Andre Dillard,T,23,2019,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,,,,Washington St.
1,23,HOU,Tytus Howard,T,23,2019,0,0,1,5,5,8,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama St.
1,24,OAK,Josh Jacobs,RB,21,2019,0,0,1,8,8,13,0,0,0,0,0,242,1150,7,20,166,0,,,,Alabama
1,25,BAL,Marquise Brown,WR,22,2019,0,0,1,8,8,14,0,0,0,0,0,0,0,0,46,584,7,,,,Oklahoma
1,26,WAS,Montez Sweat,DE,23,2019,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,31,,7,Mississippi St.
1,27,OAK,Johnathan Abram,S,22,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,Mississippi St.
1,28,LAC,Jerry Tillery,DT,22,2019,0,0,0,2,2,15,0,0,0,0,0,0,0,0,0,0,0,9,,2,Notre Dame
1,29,SEA,L.J. Collier,DE,23,2019,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,2,,,TCU
1,30,NYG,Deandre Baker,CB,22,2019,0,0,1,5,5,16,0,0,0,0,0,0,0,0,0,0,0,48,,,Georgia
1,31,ATL,Kaleb McGary,T,24,2019,0,0,1,9,9,16,0,0,0,0,0,0,0,0,1,-3,0,,,,Washington
1,32,NWE,N'Keal Harry,WR,21,2019,0,0,0,1,1,7,0,0,0,0,0,5,49,0,12,105,2,,,,Arizona St.
2,33,ARI,Byron Murphy,CB,21,2019,0,0,1,5,5,16,0,0,0,0,0,0,0,0,0,0,0,66,1,,Washington
2,34,IND,Rock Ya-Sin,CB,23,2019,0,0,1,5,5,15,0,0,0,0,0,0,0,0,0,0,0,53,1,,Temple
2,35,JAX,Jawaan Taylor,T,21,2019,0,0,1,8,8,16,0,0,0,0,0,0,0,0,0,0,0,,,,Florida
2,36,SFO,Deebo Samuel,WR,23,2019,0,0,1,9,9,15,0,0,0,0,0,14,159,3,57,802,3,,,,South Carolina
2,37,CAR,Greg Little,T,21,2019,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi
2,38,BUF,Cody Ford,T,22,2019,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma
2,39,TAM,Sean Murphy-Bunting,CB,22,2019,0,0,1,5,5,16,0,0,0,0,0,0,0,0,0,0,0,36,3,1,Central Michigan
2,40,OAK,Trayvon Mullen,CB,21,2019,0,0,1,3,3,16,0,0,0,0,0,0,0,0,0,0,0,40,1,,Clemson
2,41,DEN,Dalton Risner,T,24,2019,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.
2,42,DEN,Drew Lock,QB,22,2019,0,0,0,3,3,5,100,156,1020,7,3,18,72,0,0,0,0,,,,Missouri
2,43,DET,Jahlani Tavai,LB,22,2019,0,0,0,4,4,15,0,0,0,0,0,0,0,0,0,0,0,36,1,2,Hawaii
2,44,GNB,Elgton Jenkins,C,23,2019,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.
2,45,NWE,Joejuan Williams,CB,21,2019,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,3,,,Vanderbilt
2,46,CLE,Greedy Williams,CB,21,2019,0,0,1,4,4,12,0,0,0,0,0,0,0,0,0,0,0,37,,,LSU
2,47,SEA,Marquise Blair,S,22,2019,0,0,0,2,2,14,0,0,0,0,0,0,0,0,0,0,0,19,,,Utah
2,48,NOR,Erik McCoy,C,22,2019,0,0,1,7,7,16,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M
2,49,IND,Ben Banogu,LB,23,2019,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,7,,2.5,TCU
2,50,MIN,Irv Smith Jr.,TE,21,2019,0,0,0,3,3,16,0,0,0,0,0,0,0,0,36,311,2,,,,Alabama
2,51,TEN,A.J. Brown,WR,22,2019,0,0,1,10,10,16,0,0,0,0,0,3,60,1,52,1051,8,,,,Mississippi
2,52,CIN,Drew Sample,TE,23,2019,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,30,0,,,,Washington
2,53,PHI,Miles Sanders,RB,22,2019,0,0,1,8,8,16,0,0,0,0,0,179,818,3,50,509,3,,,,Penn St.
2,54,HOU,Lonnie Johnson,CB,22,2019,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,31,,,Kentucky
2,55,HOU,Max Scharping,T,23,2019,0,0,1,8,8,16,0,0,0,0,0,0,0,0,0,0,0,,,,Northern Illinois
2,56,KAN,Mecole Hardman,WR,21,2019,0,1,0,7,7,16,0,0,0,0,0,4,17,0,26,538,6,,,,Georgia
2,57,PHI,JJ Arcega-Whiteside,WR,22,2019,0,0,0,1,1,16,0,0,0,0,0,0,0,0,10,169,1,,,,Stanford
2,58,DAL,Trysten Hill,DT,21,2019,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,4,,,Central Florida
2,59,IND,Parris Campbell,WR,22,2019,0,0,0,1,1,7,0,0,0,0,0,4,34,0,18,127,1,,,,Ohio St.
2,60,LAC,Nasir Adderley,S,22,2019,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,Delaware
2,61,LAR,Taylor Rapp,S,21,2019,0,0,1,5,5,15,0,0,0,0,0,0,0,0,0,0,0,61,2,,Washington
2,62,ARI,Andy Isabella,WR,22,2019,0,0,0,2,2,15,0,0,0,0,0,4,15,0,9,189,1,,,,Massachusetts
2,63,KAN,Juan Thornhill,S,23,2019,0,0,1,6,6,16,0,0,0,0,0,0,0,0,0,0,0,41,3,,Virginia
2,64,SEA,D.K. Metcalf,WR,21,2019,0,0,1,8,8,16,0,0,0,0,0,2,11,0,58,900,7,,,,Mississippi
