Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,PAtt,PYds,PTD,Int,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,Solo,Int,Sk,College/Univ
1,1,CLE,Myles Garrett,DE,21,2019,0,1,3,22,22,37,0,0,0,0,0,0,0,0,0,0,0,74,,30.5,Texas A&M
1,2,CHI,Mitchell Trubisky,QB,23,2019,0,1,3,27,27,41,811,1280,8554,48,29,157,862,7,0,0,0,,,,North Carolina
1,3,SFO,Solomon Thomas,DE,22,2019,0,0,2,14,14,46,0,0,0,0,0,0,0,0,0,0,0,73,,6,Stanford
1,4,JAX,Leonard Fournette,RB,22,2019,0,0,3,20,20,36,0,0,0,0,0,666,2631,17,134,1009,2,,,,LSU
1,5,TEN,Corey Davis,WR,22,2019,0,0,3,14,14,42,0,0,0,0,0,6,55,0,142,1867,6,,,,West. Michigan
1,6,NYJ,Jamal Adams,S,21,2019,1,2,3,28,28,46,0,0,0,0,0,0,0,0,0,0,0,210,2,12,LSU
1,7,LAC,Mike Williams,WR,22,2019,0,0,1,15,15,41,0,0,0,0,0,8,30,1,103,1760,12,,,,Clemson
1,8,CAR,Christian McCaffrey,RB,21,2019,1,1,3,38,38,48,1,3,50,1,0,623,2920,24,303,2523,15,,,,Stanford
1,9,CIN,John Ross,WR,22,2019,0,0,2,5,5,24,0,0,0,0,0,8,25,0,49,716,10,,,,Washington
1,10,KAN,Patrick Mahomes,QB,21,2019,1,2,2,39,39,31,724,1099,9412,76,18,110,500,4,0,0,0,,,,Texas Tech
1,11,NOR,Marshon Lattimore,CB,21,2019,0,2,3,20,20,43,0,0,0,0,0,0,0,0,0,0,0,138,8,,Ohio St.
1,12,HOU,Deshaun Watson,QB,21,2019,0,2,2,38,38,38,804,1204,9716,71,29,217,1233,14,1,6,1,,,,Clemson
1,13,ARI,Haason Reddick,LB,22,2019,0,0,1,12,12,48,0,0,0,0,0,0,0,0,0,0,0,119,,7.5,Temple
1,14,PHI,Derek Barnett,DE,21,2019,0,0,1,13,13,35,0,0,0,0,0,0,0,0,0,0,0,54,,14,Tennessee
1,15,IND,Malik Hooker,S,21,2019,0,0,2,13,13,34,0,0,0,0,0,0,0,0,0,0,0,76,7,,Ohio St.
1,16,BAL,Marlon Humphrey,CB,21,2019,1,1,2,20,20,46,0,0,0,0,0,0,0,0,0,0,0,114,7,,Alabama
1,17,WAS,Jonathan Allen,DE,22,2019,0,0,2,16,16,36,0,0,0,0,0,0,0,0,0,0,0,84,,15,Alabama
1,18,TEN,Adoree' Jackson,CB,21,2019,0,0,3,15,15,43,0,0,0,0,0,5,55,0,0,0,0,167,2,,USC
1,19,TAM,O.J. Howard,TE,22,2019,0,0,3,11,11,38,0,0,0,0,0,0,0,0,94,1456,12,,,,Alabama
1,20,DEN,Garett Bolles,T,25,2019,0,0,3,21,21,48,0,0,0,0,0,0,0,0,0,0,0,,,,Utah
1,21,DET,Jarrad Davis,LB,21,2019,0,0,3,20,20,41,0,0,0,0,0,0,0,0,0,0,0,176,1,10,Florida
1,22,MIA,Charles Harris,OLB,22,2019,0,0,0,7,7,41,0,0,0,0,0,0,0,0,0,0,0,34,,3.5,Missouri
1,23,NYG,Evan Engram,TE,23,2019,0,0,2,13,13,34,0,0,0,0,0,7,57,0,153,1766,12,,,,Mississippi
1,24,OAK,Gareon Conley,CB,22,2019,0,0,1,9,7,31,0,0,0,0,0,0,0,0,0,0,0,65,4,,Ohio St.
1,25,CLE,Jabrill Peppers,S,21,2019,0,0,3,14,11,40,0,0,0,0,0,0,0,0,0,0,0,148,3,1,Michigan
1,26,ATL,Takkarist McKinley,DE,21,2019,0,0,2,12,12,45,0,0,0,0,0,0,0,0,0,0,0,48,,16.5,UCLA
1,27,BUF,Tre'Davious White,CB,22,2019,1,1,2,29,29,47,0,0,0,0,0,0,0,0,0,0,0,145,12,1,LSU
1,28,DAL,Taco Charlton,DE,22,2019,0,0,0,8,6,37,0,0,0,0,0,0,0,0,0,0,0,42,,9,Michigan
1,29,CLE,David Njoku,TE,21,2019,0,0,1,7,7,36,0,0,0,0,0,1,1,0,93,1066,9,,,,Miami (FL)
1,30,PIT,T.J. Watt,OLB,22,2019,1,2,3,31,31,47,0,0,0,0,0,0,0,0,0,0,0,125,3,34.5,Wisconsin
1,31,SFO,Reuben Foster,LB,23,2018,0,0,1,8,8,16,0,0,0,0,0,0,0,0,0,0,0,84,,,Alabama
1,32,NOR,Ryan Ramczyk,T,23,2019,1,0,3,39,39,47,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin
2,33,GNB,Kevin King,CB,22,2019,0,0,1,10,10,30,0,0,0,0,0,0,0,0,0,0,0,92,6,1,Washington
2,34,JAX,Cam Robinson,T,21,2019,0,0,2,16,16,32,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama
