Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,PAtt,PYds,PTD,Int,RushAtt,RushYds,RushTD,Rec,RecYds,RecTD,Solo,Int,Sk,College/Univ
1,1,STL,Sam Bradford,QB,22,2018,0,0,5,44,23,83,1855,2967,19449,103,61,146,340,2,1,5,0,,,,Oklahoma
1,2,DET,Ndamukong Suh,DT,23,2019,3,5,10,88,58,158,0,0,0,0,0,0,0,0,0,0,0,346,1,58.5,Nebraska
1,3,TAM,Gerald McCoy,DT,22,2019,1,6,9,68,64,139,0,0,0,0,0,0,0,0,0,0,0,235,,59.5,Oklahoma
1,4,WAS,Trent Williams,T,22,2018,0,7,9,66,66,120,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma
1,5,KAN,Eric Berry,DB,21,2018,3,5,5,49,49,89,0,0,0,0,0,0,0,0,0,0,0,377,14,5.5,Tennessee
1,6,SEA,Russell Okung,T,22,2019,0,2,9,56,33,124,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma St.
1,7,CLE,Joe Haden,DB,21,2019,0,3,8,55,38,132,0,0,0,0,0,0,0,0,0,0,0,434,27,3,Florida
1,8,OAK,Rolando McClain,LB,21,2015,0,0,5,26,15,65,0,0,0,0,0,0,0,0,0,0,0,288,4,9.5,Alabama
1,9,BUF,C.J. Spiller,RB,23,2017,0,1,3,34,32,90,0,0,0,0,0,712,3451,12,198,1484,9,2,,,Clemson
1,10,JAX,Tyson Alualu,DT,23,2019,0,0,6,43,34,157,0,0,0,0,0,1,0,0,2,19,0,235,,22.5,California
1,11,SFO,Anthony Davis,T,20,2016,0,0,4,31,31,72,0,0,0,0,0,0,0,0,0,0,0,,,,Rutgers
1,12,SDG,Ryan Mathews,RB,22,2016,0,1,5,43,36,86,0,0,0,0,0,1184,5261,37,179,1371,3,,,,Fresno St.
1,13,PHI,Brandon Graham,DE,22,2019,0,0,5,47,47,143,0,0,0,0,0,0,0,0,0,0,0,277,,51,Michigan
1,14,SEA,Earl Thomas,DB,21,2019,3,7,9,76,72,140,0,0,0,0,0,0,0,0,0,0,0,497,30,2,Texas
1,15,NYG,Jason Pierre-Paul,DE,21,2019,1,2,7,60,52,137,0,0,0,0,0,0,0,0,0,0,0,384,2,79.5,South Florida
1,16,TEN,Derrick Morgan,DE,21,2018,0,0,8,40,40,118,0,0,0,0,0,0,0,0,0,0,0,208,,44.5,Georgia Tech
1,17,SFO,Mike Iupati,G,23,2019,1,4,9,64,41,130,0,0,0,0,0,0,0,0,1,10,0,1,,,Idaho
1,18,PIT,Maurkice Pouncey,C,21,2019,2,7,8,72,72,121,0,0,0,0,0,0,0,0,1,0,0,,,,Florida
1,19,ATL,Sean Weatherspoon,LB,22,2017,0,0,2,22,22,67,0,0,0,0,0,0,0,0,0,0,0,244,2,8,Missouri
1,20,HOU,Kareem Jackson,DB,22,2019,0,0,9,44,39,145,0,0,0,0,0,0,0,0,0,0,0,516,18,2,Alabama
1,21,CIN,Jermaine Gresham,TE,22,2018,0,2,9,28,22,132,0,0,0,0,0,0,0,0,377,3752,29,1,,,Oklahoma
1,22,DEN,Demaryius Thomas,WR,22,2019,0,4,8,69,65,143,0,1,0,0,0,3,6,0,724,9763,63,2,,,Georgia Tech
1,23,GNB,Bryan Bulaga,T,21,2019,0,0,8,56,56,115,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa
1,24,DAL,Dez Bryant,WR,21,2017,1,3,7,61,61,113,1,1,10,1,0,6,-3,0,531,7459,73,,,,Oklahoma St.
1,25,DEN,Tim Tebow,QB,23,2012,0,0,1,12,11,35,173,361,2422,17,9,197,989,12,0,0,0,1,,,Florida
1,26,ARI,Dan Williams,DT,23,2016,0,0,6,32,22,102,0,0,0,0,0,0,0,0,0,0,0,154,1,3.5,Tennessee
1,27,NWE,Devin McCourty,DB,23,2019,0,2,10,61,61,155,0,0,0,0,0,0,0,0,0,0,0,599,26,3,Rutgers
1,28,MIA,Jared Odrick,DE,22,2016,0,0,3,29,20,87,0,0,0,0,0,0,0,0,0,0,0,135,1,23,Penn St.
1,29,NYJ,Kyle Wilson,DB,23,2015,0,0,1,15,13,95,0,0,0,0,0,0,0,0,0,0,0,167,4,1,Boise St.
1,30,DET,Jahvid Best,RB,21,2012,0,0,1,13,13,22,0,1,0,0,0,255,945,6,85,774,3,,,,California
1,31,IND,Jerry Hughes,DE,22,2019,0,0,6,51,3,152,0,0,0,0,0,0,0,0,0,0,0,249,,51.5,TCU
1,32,NOR,Patrick Robinson,DB,23,2019,0,0,2,23,13,111,0,0,0,0,0,0,0,0,0,0,0,269,14,2,Florida St.
2,33,STL,Rodger Saffold,T,22,2019,0,0,8,52,45,130,0,0,0,0,0,0,0,0,0,0,0,,,,Indiana
2,34,MIN,Chris Cook,DB,23,2014,0,0,2,9,9,40,0,0,0,0,0,0,0,0,0,0,0,107,,1,Virginia
2,35,TAM,Brian Price,DT,21,2012,0,0,1,4,4,20,0,0,0,0,0,0,0,0,0,0,0,23,,3,UCLA
2,36,KAN,Dexter McCluster,WR,21,2016,0,1,0,21,17,89,0,0,0,0,0,250,1042,2,236,1993,7,1,,,Mississippi
2,37,PHI,Nate Allen,DB,22,2017,0,0,5,29,26,100,0,0,0,0,0,0,0,0,0,0,0,303,13,4,South Florida
2,38,CLE,T.J. Ward,DB,23,2017,0,2,7,39,23,107,0,0,0,0,0,0,0,0,0,0,0,458,8,8.5,Oregon
2,39,TAM,Arrelious Benn,WR,21,2017,0,0,2,8,7,61,0,0,0,0,0,15,44,0,65,990,6,24,,,Illinois
2,40,MIA,Koa Misi,LB,23,2016,0,0,6,32,32,84,0,0,0,0,0,0,0,0,0,0,0,258,,12,Utah
2,41,BUF,Torell Troup,DT,21,2012,0,0,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,17,,,Central Florida
2,42,NWE,Rob Gronkowski,TE,21,2018,4,5,7,69,69,115,0,0,0,0,0,1,2,1,521,7861,79,,,,Arizona
2,43,BAL,Sergio Kindle,LB,22,2012,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas
2,44,OAK,Lamarr Houston,DE,23,2017,0,0,4,32,26,100,0,0,0,0,0,0,0,0,0,0,0,231,1,30.5,Texas
2,45,DEN,Zane Beadles,G,23,2018,0,1,7,51,31,137,0,0,0,0,0,0,0,0,0,0,0,,,,Utah
2,46,NYG,Linval Joseph,DT,21,2019,0,2,9,62,16,141,0,0,0,0,0,0,0,0,0,0,0,316,,24,East Carolina
2,47,ARI,Daryl Washington,LB,23,2014,0,1,4,36,36,59,0,0,0,0,0,0,0,0,0,0,0,329,6,18,TCU
2,48,CAR,Jimmy Clausen,QB,22,2015,0,0,1,3,0,22,255,472,2520,7,14,37,102,0,0,0,0,,,,Notre Dame
2,49,SFO,Taylor Mays,DB,22,2015,0,0,0,9,3,80,0,0,0,0,0,0,0,0,0,0,0,89,,1,USC
